"Trial"	"Subject"	"StartPosition"	"EndPosition"	"DistToTarget"	"DistMoved"	"PressTime"	"AbsError"	"Error"	"Condition"	"Phase"	"Puck"	"Mass"
1	"KA01NS"	2.198906	2.535429	2.801094	0.336523	0.34	2.464571	-2.464571	2	2	"FiveDots"	2
2	"KA01NS"	0.244175	20.56956	4.755825	20.325385	2.659998	15.56956	15.56956	2	2	"FiveDots"	2
3	"KA01NS"	0.1393957	1.986259	4.8606043	1.8468633	0.7999998	3.013741	-3.013741	2	2	"FiveDots"	2
4	"KA01NS"	2.669305	3.780687	2.330695	1.111382	0.6199999	1.219313	-1.219313	2	2	"FiveDots"	2
5	"KA01NS"	1.60934	2.516823	3.39066	0.907483	0.6999999	2.483177	-2.483177	2	2	"Diamond"	2.5
6	"KA01NS"	2.890388	4.737252	2.109612	1.846864	0.9999996	0.262748	-0.262748	2	2	"Diamond"	2.5
7	"KA01NS"	2.571515	3.153665	2.428485	0.58215	0.56	1.846335	-1.846335	2	2	"Diamond"	2.5
8	"KA01NS"	2.613803	5.182837	2.386197	2.569034	1.179999	0.182837	0.182837	2	2	"Diamond"	2.5
9	"KA01NS"	3.178804	4.219929	1.821196	1.041125	0.6	0.780071	-0.780071	2	2	"FiveDots"	2
10	"KA01NS"	1.111351	7.077895	3.888649	5.966544	1.439999	2.077895	2.077895	2	2	"FiveDots"	2
11	"KA01NS"	0.03451633	8.345538	4.96548367	8.31102167	1.699999	3.345538	3.345538	2	2	"FiveDots"	2
12	"KA01NS"	2.07513	4.110678	2.92487	2.035548	0.8399997	0.889322	-0.889322	2	2	"FiveDots"	2
13	"KA01NS"	0.8713617	2.868424	4.1286383	1.9970623	1.04	2.131576	-2.131576	2	2	"Diamond"	2.5
14	"KA01NS"	0.7579832	6.206858	4.2420168	5.4488748	1.719999	1.206858	1.206858	2	2	"Diamond"	2.5
15	"KA01NS"	2.141835	3.988698	2.858165	1.846863	0.9999996	1.011302	-1.011302	2	2	"Diamond"	2.5
16	"KA01NS"	0.9760118	8.339443	4.0239882	7.3634312	1.999999	3.339443	3.339443	2	2	"Diamond"	2.5
17	"KA01NS"	0.05509615	4.771544	4.94490385	4.71644785	1.279999	0.228456	-0.228456	2	2	"FiveDots"	2
18	"KA01NS"	1.834431	4.950952	3.165569	3.116521	1.04	0.049048	-0.049048	2	2	"FiveDots"	2
19	"KA01NS"	3.653127	3.821874	1.346873	0.168747	0.24	1.178126	-1.178126	2	2	"FiveDots"	2
20	"KA01NS"	0.3435731	6.476691	4.6564269	6.1331179	1.459999	1.476691	1.476691	2	2	"FiveDots"	2
21	"KA01NS"	2.278172	3.03742	2.721828	0.759248	0.6399999	1.96258	-1.96258	2	2	"Diamond"	2.5
22	"KA01NS"	2.163287	4.73232	2.836713	2.569033	1.179999	0.26768	-0.26768	2	2	"Diamond"	2.5
23	"KA01NS"	0.9938993	7.640544	4.0061007	6.6466447	1.899999	2.640544	2.640544	2	2	"Diamond"	2.5
24	"KA01NS"	1.691869	4.437527	3.308131	2.745658	1.219999	0.562473000000001	-0.562473000000001	2	2	"Diamond"	2.5
25	"KA01NS"	2.700752	4.934141	2.299248	2.233389	0.8799997	0.0658589999999997	-0.0658589999999997	2	2	"FiveDots"	2
26	"KA01NS"	0.1398726	10.08633	4.8601274	9.9464574	1.859999	5.08633	5.08633	2	2	"FiveDots"	2
27	"KA01NS"	3.859326	4.028073	1.140674	0.168747	0.24	0.971927	-0.971927	2	2	"FiveDots"	2
28	"KA01NS"	2.848825	4.884374	2.151175	2.035549	0.8399997	0.115626	-0.115626	2	2	"FiveDots"	2
29	"KA01NS"	3.907679	4.054904	1.092321	0.147225000000001	0.28	0.945095999999999	-0.945095999999999	2	2	"Diamond"	2.5
30	"KA01NS"	3.298655	4.057903	1.701345	0.759247999999999	0.6399999	0.942097	-0.942097	2	2	"Diamond"	2.5
31	"KA01NS"	2.771885	4.139286	2.228115	1.367401	0.8599997	0.860714	-0.860714	2	2	"Diamond"	2.5
32	"KA01NS"	3.611127	4.235352	1.388873	0.624225	0.58	0.764648	-0.764648	2	2	"Diamond"	2.5
33	"KA01NS"	2.331291	4.667031	2.668709	2.33574	0.8999997	0.332969	-0.332969	2	2	"FiveDots"	2
34	"KA01NS"	1.626704	7.107258	3.373296	5.480554	1.379999	2.107258	2.107258	2	2	"FiveDots"	2
35	"KA01NS"	1.336888	8.337335	3.663112	7.000447	1.559999	3.337335	3.337335	2	2	"FiveDots"	2
36	"KA01NS"	0.5811405	4.324152	4.4188595	3.7430115	1.14	0.675848	-0.675848	2	2	"FiveDots"	2
37	"KA01NS"	3.982903	4.110074	1.017097	0.127171	0.26	0.889926	-0.889926	2	2	"Diamond"	2.5
38	"KA01NS"	2.844718	4.149492	2.155282	1.304774	0.8399997	0.850508	-0.850508	2	2	"Diamond"	2.5
39	"KA01NS"	0.8302021	5.665052	4.1697979	4.8348499	1.619999	0.665051999999999	0.665051999999999	2	2	"Diamond"	2.5
40	"KA01NS"	3.124213	7.270655	1.875787	4.146442	1.499999	2.270655	2.270655	2	2	"Diamond"	2.5
41	"KA01NS"	1.330156	5.756998	3.669844	4.426842	1.239999	0.756998	0.756998	2	2	"FiveDots"	2
42	"KA01NS"	1.859967	5.473089	3.140033	3.613122	1.12	0.473089	0.473089	2	2	"FiveDots"	2
43	"KA01NS"	0.1775117	7.725882	4.8224883	7.5483703	1.619999	2.725882	2.725882	2	2	"FiveDots"	2
44	"KA01NS"	3.111931	3.576666	1.888069	0.464735	0.4	1.423334	-1.423334	2	2	"FiveDots"	2
45	"KA01NS"	3.239044	4.095644	1.760956	0.8566	0.6799999	0.904356	-0.904356	2	2	"Diamond"	2.5
46	"KA01NS"	1.406155	2.649772	3.593845	1.243617	0.8199998	2.350228	-2.350228	2	2	"Diamond"	2.5
47	"KA01NS"	2.618104	3.577941	2.381896	0.959837	0.7199998	1.422059	-1.422059	2	2	"Diamond"	2.5
48	"KA01NS"	3.139252	4.046736	1.860748	0.907484	0.6999999	0.953264	-0.953264	2	2	"Diamond"	2.5
